Technique,ATTACK_ID,Tactic,Used_by_VT,group_id,group_name
Security Support Provider,T1547.005,"Persistence, Privilege Escalation",Yes,G1017,Volt Typhoon
Overwrite Process Arguments,T1036.011,Stealth,No,,
Use Alternate Authentication Material,T1550,Lateral Movement,Yes,G1017,Volt Typhoon
Threat Intel Vendors,T1597.001,Reconnaissance,No,,
Exfiltration Over Other Network Medium,T1011,Exfiltration,No,,
Network Device Configuration Dump,T1602.002,Collection,No,,
Gather Victim Identity Information,T1589,Reconnaissance,Yes,G1017,Volt Typhoon
Archive Collected Data,T1560,Collection,Yes,G1017,Volt Typhoon
SIP and Trust Provider Hijacking,T1553.003,Defense Impairment,No,,
Browser Session Hijacking,T1185,Collection,No,,
Remote Services,T1021,Lateral Movement,Yes,G1017,Volt Typhoon
Mail Protocols,T1071.003,Command And Control,No,,
Hybrid Identity,T1556.007,"Defense Impairment, Persistence, Credential Access",No,,
Vulnerability Scanning,T1595.002,Reconnaissance,No,,
Cloud API,T1059.009,Execution,No,,
Search Open Technical Databases,T1596,Reconnaissance,Yes,G1017,Volt Typhoon
Electron Applications,T1218.015,Stealth,No,,
Rogue Domain Controller,T1207,Defense Impairment,Yes,G1017,Volt Typhoon
Code Signing Policy Modification,T1553.006,Defense Impairment,No,,
Deploy Container,T1610,Execution,No,,
Modify Registry,T1112,"Defense Impairment, Persistence",Yes,G1017,Volt Typhoon
Launch Daemon,T1543.004,"Persistence, Privilege Escalation",No,,
Cloud Infrastructure Discovery,T1580,Discovery,No,,
Credentials from Web Browsers,T1555.003,Credential Access,Yes,G1017,Volt Typhoon
Path Interception by Search Order Hijacking,T1574.008,"Stealth, Execution",No,,
Defacement,T1491,Impact,No,,
Unused/Unsupported Cloud Regions,T1535,Stealth,No,,
DHCP Spoofing,T1557.003,"Credential Access, Collection",No,,
Remote Service Session Hijacking,T1563,Lateral Movement,No,,
Bind Mounts,T1564.013,Stealth,Yes,G1017,Volt Typhoon
Binary Padding,T1027.001,Stealth,No,,
Web Shell,T1505.003,Persistence,Yes,G1017,Volt Typhoon
Group Policy Modification,T1484.001,"Defense Impairment, Privilege Escalation",No,,
Clear Linux or Mac System Logs,T1685.006,Defense Impairment,No,,
Browser Information Discovery,T1217,Discovery,Yes,G1017,Volt Typhoon
Private Keys,T1552.004,Credential Access,Yes,G1017,Volt Typhoon
Server,T1583.004,Resource Development,No,,
Windows Remote Management,T1021.006,Lateral Movement,No,,
Exfiltration Over Bluetooth,T1011.001,Exfiltration,No,,
Default Accounts,T1078.001,"Stealth, Persistence, Privilege Escalation, Initial Access",No,,
Time Providers,T1547.003,"Persistence, Privilege Escalation",No,,
Trap,T1546.005,"Privilege Escalation, Persistence",No,,
Dynamic Linker Hijacking,T1574.006,"Stealth, Execution",No,,
Local Account,T1136.001,Persistence,Yes,G1017,Volt Typhoon
Search Threat Vendor Data,T1681,Reconnaissance,No,,
Input Injection,T1674,Execution,No,,
Communication Through Removable Media,T1092,Command And Control,No,,
Email Accounts,T1585.002,Resource Development,No,,
Name Resolution Poisoning and SMB Relay,T1557.001,"Credential Access, Collection",Yes,G1017,Volt Typhoon
File and Directory Permissions Modification,T1222,Defense Impairment,Yes,G1017,Volt Typhoon
LSASS Memory,T1003.001,Credential Access,Yes,G1017,Volt Typhoon
IDE Extensions,T1176.002,Persistence,No,,
Active Scanning,T1595,Reconnaissance,No,,
Junk Code Insertion,T1027.016,Stealth,No,,
Abuse Elevation Control Mechanism,T1548,Privilege Escalation,No,,
Create Process with Token,T1134.002,"Stealth, Privilege Escalation",No,,
Setuid and Setgid,T1548.001,Privilege Escalation,No,,
Winlogon Helper DLL,T1547.004,"Persistence, Privilege Escalation",No,,
Distributed Component Object Model,T1021.003,Lateral Movement,No,,
Password Spraying,T1110.003,Credential Access,No,,
External Proxy,T1090.002,Command And Control,No,,
Web Portal Capture,T1056.003,"Collection, Credential Access",No,,
Email Addresses,T1589.002,Reconnaissance,Yes,G1017,Volt Typhoon
Spearphishing Voice,T1598.004,Reconnaissance,No,,
Written Content,T1683.001,Resource Development,No,,
Cached Domain Credentials,T1003.005,Credential Access,No,,
SSH Authorized Keys,T1098.004,"Persistence, Privilege Escalation",No,,
Virtual Machine Discovery,T1673,Discovery,No,,
Network Security Appliances,T1590.006,Reconnaissance,Yes,G1017,Volt Typhoon
Image File Execution Options Injection,T1546.012,"Privilege Escalation, Persistence",No,,
Odbcconf,T1218.008,Stealth,No,,
Search Engines,T1593.002,Reconnaissance,No,,
Business Relationships,T1591.002,Reconnaissance,No,,
Temporary Elevated Cloud Access,T1548.005,Privilege Escalation,No,,
Video Capture,T1125,Collection,No,,
Process Doppelgänging,T1055.013,"Stealth, Privilege Escalation",No,,
System Network Configuration Discovery,T1016,Discovery,Yes,G1017,Volt Typhoon
Delete Cloud Instance,T1578.003,Defense Impairment,No,,
Code Repositories,T1593.003,Reconnaissance,No,,
Executable Installer File Permissions Weakness,T1574.005,"Stealth, Execution",No,,
Accessibility Features,T1546.008,"Privilege Escalation, Persistence",No,,
Bandwidth Hijacking,T1496.002,Impact,No,,
Account Discovery,T1087,Discovery,Yes,G1017,Volt Typhoon
Proxy,T1090,Command And Control,Yes,G1017,Volt Typhoon
Command and Scripting Interpreter,T1059,Execution,Yes,G1017,Volt Typhoon
Malicious Library,T1204.005,Execution,No,,
Clear Windows Event Logs,T1685.005,Defense Impairment,Yes,G1017,Volt Typhoon
Domain Account,T1136.002,Persistence,Yes,G1017,Volt Typhoon
Extended Attributes,T1564.014,Stealth,No,,
Employee Names,T1589.003,Reconnaissance,No,,
Poisoned Pipeline Execution,T1677,Execution,No,,
Domain Trust Discovery,T1482,Discovery,Yes,G1017,Volt Typhoon
Golden Ticket,T1558.001,Credential Access,Yes,G1017,Volt Typhoon
Automated Exfiltration,T1020,Exfiltration,No,,
Client Configurations,T1592.004,Reconnaissance,No,,
IDE Tunneling,T1219.001,Command And Control,No,,
Right-to-Left Override,T1036.002,Stealth,No,,
Malware,T1588.001,Resource Development,No,,
SVG Smuggling,T1027.017,Stealth,No,,
Component Firmware,T1542.002,"Stealth, Persistence",No,,
Indicator Removal,T1070,Stealth,Yes,G1017,Volt Typhoon
Exfiltration Over Symmetric Encrypted Non-C2 Protocol,T1048.001,Exfiltration,No,,
Office Template Macros,T1137.001,Persistence,No,,
Virtual Private Server,T1583.003,Resource Development,Yes,G1017,Volt Typhoon
Confluence,T1213.001,Collection,No,,
Pass the Ticket,T1550.003,Lateral Movement,Yes,G1017,Volt Typhoon
Container Administration Command,T1609,Execution,No,,
File and Directory Discovery,T1083,Discovery,Yes,G1017,Volt Typhoon
Dynamic Resolution,T1568,Command And Control,No,,
Masquerade Task or Service,T1036.004,Stealth,Yes,G1017,Volt Typhoon
Asynchronous Procedure Call,T1055.004,"Stealth, Privilege Escalation",No,,
Traffic Duplication,T1020.001,Exfiltration,No,,
Plist File Modification,T1647,Defense Impairment,No,,
JamPlus,T1127.003,"Stealth, Execution",No,,
AppCert DLLs,T1546.009,"Privilege Escalation, Persistence",No,,
Email Forwarding Rule,T1114.003,Collection,No,,
Data Staged,T1074,Collection,Yes,G1017,Volt Typhoon
Steal or Forge Authentication Certificates,T1649,Credential Access,Yes,G1017,Volt Typhoon
Device Registration,T1098.005,"Persistence, Privilege Escalation",No,,
System Network Connections Discovery,T1049,Discovery,Yes,G1017,Volt Typhoon
Compromise Infrastructure,T1584,Resource Development,Yes,G1017,Volt Typhoon
Mark-of-the-Web Bypass,T1553.005,Defense Impairment,No,,
Disable Crypto Hardware,T1600.002,Defense Impairment,No,,
Pre-OS Boot,T1542,"Stealth, Persistence",No,,
Build Image on Host,T1612,Stealth,No,,
Portable Executable Injection,T1055.002,"Stealth, Privilege Escalation",No,,
Verclsid,T1218.012,Stealth,No,,
Compromise Accounts,T1586,Resource Development,No,,
Launchctl,T1569.001,Execution,No,,
Botnet,T1584.005,Resource Development,Yes,G1017,Volt Typhoon
Network Device CLI,T1059.008,Execution,No,,
Shell History,T1552.003,Credential Access,No,,
XPC Services,T1559.003,Execution,No,,
Virtualization/Sandbox Evasion,T1497,"Stealth, Discovery",Yes,G1017,Volt Typhoon
Web Service,T1102,Command And Control,No,,
Credentials In Files,T1552.001,Credential Access,No,,
DNS Calculation,T1568.003,Command And Control,No,,
Mshta,T1218.005,Stealth,No,,
Login Items,T1547.015,"Persistence, Privilege Escalation",No,,
Stage Capabilities,T1608,Resource Development,No,,
Link Target,T1608.005,Resource Development,No,,
Multi-Stage Channels,T1104,Command And Control,No,,
Financial Theft,T1657,Impact,No,,
Execution Guardrails,T1480,Stealth,No,,
Cloud Storage Object Discovery,T1619,Discovery,No,,
Web Cookies,T1606.001,Credential Access,No,,
Log Enumeration,T1654,Discovery,Yes,G1017,Volt Typhoon
Token Impersonation/Theft,T1134.001,"Stealth, Privilege Escalation",No,,
Exfiltration to Code Repository,T1567.001,Exfiltration,No,,
Cloud Services,T1021.007,Lateral Movement,No,,
Port Knocking,T1205.001,"Stealth, Persistence, Command And Control",No,,
LNK Icon Smuggling,T1027.012,Stealth,No,,
Web Services,T1583.006,Resource Development,No,,
Steal Application Access Token,T1528,Credential Access,No,,
Spearphishing Attachment,T1598.002,Reconnaissance,No,,
Additional Cloud Credentials,T1098.001,"Persistence, Privilege Escalation",No,,
User Execution,T1204,Execution,No,,
Internal Defacement,T1491.001,Impact,No,,
Hidden Users,T1564.002,Stealth,No,,
Make and Impersonate Token,T1134.003,"Stealth, Privilege Escalation",No,,
Group Policy Preferences,T1552.006,Credential Access,No,,
Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,T1048.002,Exfiltration,No,,
Cloud Account,T1087.004,Discovery,No,,
Audio-Visual Content,T1683.002,Resource Development,No,,
Process Discovery,T1057,Discovery,Yes,G1017,Volt Typhoon
Network Provider DLL,T1556.008,"Defense Impairment, Persistence, Credential Access",No,,
Windows Management Instrumentation Event Subscription,T1546.003,"Privilege Escalation, Persistence",No,,
CDNs,T1596.004,Reconnaissance,No,,
User Activity Based Checks,T1497.002,"Stealth, Discovery",No,,
Cloud Service Hijacking,T1496.004,Impact,No,,
Cloud Accounts,T1585.003,Resource Development,No,,
Software Deployment Tools,T1072,"Execution, Lateral Movement",No,,
Exfiltration Over C2 Channel,T1041,Exfiltration,No,,
Parent PID Spoofing,T1134.004,"Stealth, Privilege Escalation",No,,
Gather Victim Org Information,T1591,Reconnaissance,Yes,G1017,Volt Typhoon
Forge Web Credentials,T1606,Credential Access,No,,
Multi-Factor Authentication Request Generation,T1621,Credential Access,No,,
Compromise Host Software Binary,T1554,Persistence,No,,
Chat Messages,T1552.008,Credential Access,No,,
PowerShell,T1059.001,Execution,Yes,G1017,Volt Typhoon
Change Default File Association,T1546.001,"Privilege Escalation, Persistence",No,,
VDSO Hijacking,T1055.014,"Stealth, Privilege Escalation",No,,
File Transfer Protocols,T1071.002,Command And Control,No,,
Selective Exclusion,T1679,Stealth,No,,
Exploitation for Credential Access,T1212,Credential Access,No,,
Emond,T1546.014,"Privilege Escalation, Persistence",No,,
One-Way Communication,T1102.003,Command And Control,No,,
Gather Victim Network Information,T1590,Reconnaissance,Yes,G1017,Volt Typhoon
Exploitation of Remote Services,T1210,Lateral Movement,No,,
Internal Spearphishing,T1534,Lateral Movement,No,,
Services File Permissions Weakness,T1574.010,"Stealth, Execution",No,,
Registry Run Keys / Startup Folder,T1547.001,"Persistence, Privilege Escalation",No,,
Trusted Relationship,T1199,Initial Access,No,,
Cloud Account,T1136.003,Persistence,No,,
Local Groups,T1069.001,Discovery,Yes,G1017,Volt Typhoon
Search Open Websites/Domains,T1593,Reconnaissance,Yes,G1017,Volt Typhoon
Account Manipulation,T1098,"Persistence, Privilege Escalation",Yes,G1017,Volt Typhoon
Exfiltration Over Alternative Protocol,T1048,Exfiltration,No,,
Kernel Modules and Extensions,T1547.006,"Persistence, Privilege Escalation",No,,
Delay Execution,T1678,Stealth,No,,
GUI Input Capture,T1056.002,"Collection, Credential Access",No,,
Network Device Firewall,T1686.002,Defense Impairment,No,,
Tool,T1588.002,Resource Development,Yes,G1017,Volt Typhoon
Exfiltration over USB,T1052.001,Exfiltration,No,,
KernelCallbackTable,T1574.013,"Stealth, Execution",No,,
Search Closed Sources,T1597,Reconnaissance,No,,
Systemd Timers,T1053.006,"Execution, Persistence, Privilege Escalation",No,,
Phishing,T1566,Initial Access,No,,
ROMMONkit,T1542.004,"Stealth, Persistence",No,,
Compiled HTML File,T1218.001,Stealth,No,,
Compute Hijacking,T1496.001,Impact,No,,
Network Share Connection Removal,T1070.005,Stealth,Yes,G1017,Volt Typhoon
Multi-hop Proxy,T1090.003,Command And Control,Yes,G1017,Volt Typhoon
Brute Force,T1110,Credential Access,No,,
Unix Shell,T1059.004,Execution,Yes,G1017,Volt Typhoon
Outlook Forms,T1137.003,Persistence,No,,
Remote Access Hardware,T1219.003,Command And Control,No,,
Data Manipulation,T1565,Impact,No,,
Inter-Process Communication,T1559,Execution,No,,
Data Obfuscation,T1001,Command And Control,No,,
Data from Network Shared Drive,T1039,Collection,No,,
Web Services,T1584.006,Resource Development,No,,
Modify System Image,T1601,Defense Impairment,No,,
Hijack Execution Flow,T1574,"Stealth, Execution",No,,
Browser Fingerprint,T1036.012,Stealth,No,,
Lua,T1059.011,Execution,No,,
Indicator Removal from Tools,T1027.005,Stealth,No,,
Malicious Image,T1204.003,Execution,No,,
Container Service,T1543.005,"Persistence, Privilege Escalation",No,,
Valid Accounts,T1078,"Stealth, Persistence, Privilege Escalation, Initial Access",Yes,G1017,Volt Typhoon
Non-Standard Port,T1571,Command And Control,Yes,G1017,Volt Typhoon
Social Media Accounts,T1585.001,Resource Development,No,,
Process Hollowing,T1055.012,"Stealth, Privilege Escalation",No,,
